industry_group_name,stock_days,distinct_stocks,total_weight,stock_day_fraction,avg_daily_count,avg_daily_weight
Software,708,48,38.689926489049924,0.13460076045627375,2.692015209125475,0.14710998665037994
Semiconductors,469,18,55.148410240966584,0.08916349809885932,1.7832699619771863,0.20968977277934062
Consumer Digital Svs,328,10,34.302593139123296,0.0623574144486692,1.247148288973384,0.1304281107951456
Computer Hardware,156,9,9.928340932504232,0.029657794676806085,0.5931558935361216,0.03775034575096666
Prod. Tech. Equipment,142,8,6.602152958600122,0.02699619771863118,0.5399239543726235,0.02510324318859362
Electronic Components,67,4,1.7324896503672036,0.01273764258555133,0.25475285171102663,0.006587413119266933
Computer Services,60,18,1.3448906866562682,0.011406844106463879,0.22813688212927757,0.005113652800974404
