specification,alpha,alpha_t,alpha_p,obs,start,end,r2
FF6 baseline,0.15771748202670569,2.3519885433326913,0.018673350068015678,219,2025-04-15,2026-02-27,0.09557316913740499
MAG7 replaces MKT,0.1391343504548164,2.1071977657347154,0.03510044053063199,219,2025-04-15,2026-02-27,0.12093138448422569
Nasdaq100 replaces MKT,0.15949086686726158,2.356874388441658,0.018429479664048797,219,2025-04-15,2026-02-27,0.0877735226328007
MAG7 only,0.12046430846738362,1.9431825474334297,0.05199410601745597,219,2025-04-15,2026-02-27,0.09988414060830142
Nasdaq100 only,0.12754857303344536,1.9850091002119843,0.0471434590364652,219,2025-04-15,2026-02-27,0.055512626849678504
