min_n_rule,cut_obs,cut_after_date,next_start_date,left_alpha,left_t,left_p,left_n,right_alpha,right_t,right_p,right_n,worst_p,min_alpha,all_positive_sig
40,40,2025-06-11,2025-06-12,0.13298346314733459,1.165449785784183,0.24383697484269373,40,0.13316115728819497,1.6807937904562602,0.0928029752043986,179,0.24383697484269373,0.13298346314733459,False
40,41,2025-06-12,2025-06-13,0.11733933158792947,1.0768386341770806,0.2815523621579069,41,0.1385581318500956,1.7508369667444759,0.07997399696675778,178,0.2815523621579069,0.11733933158792947,False
40,42,2025-06-13,2025-06-16,0.18067624836706692,1.7248830147726883,0.08454855715374918,42,0.1437306528485881,1.789929760710021,0.07346520379089236,177,0.08454855715374918,0.1437306528485881,True
40,43,2025-06-16,2025-06-17,0.17081010394818097,1.7124755414312327,0.08680906823399846,43,0.1424432716942214,1.7698403273625598,0.07675374377013276,176,0.08680906823399846,0.1424432716942214,True
40,44,2025-06-17,2025-06-18,0.17320519703606294,1.8038375725861306,0.07125677382152583,44,0.14341206273688184,1.7609504918746006,0.07824678283715387,175,0.07824678283715387,0.14341206273688184,True
40,45,2025-06-18,2025-06-20,0.17603556987842148,1.8400378615325625,0.06576267892309501,45,0.14351915584413139,1.760629185759201,0.07830118546873759,174,0.07830118546873759,0.14351915584413139,True
40,46,2025-06-20,2025-06-23,0.17782081939170677,1.8841110425534129,0.05954995686763249,46,0.14347077646396783,1.7558391486538425,0.07911587768258196,173,0.07911587768258196,0.14347077646396783,True
40,47,2025-06-23,2025-06-24,0.13947760763170217,1.5559919419275912,0.11971000852393889,47,0.15193695656641099,1.843131005855892,0.06530988531048874,172,0.11971000852393889,0.13947760763170217,False
40,48,2025-06-24,2025-06-25,0.15851121705849394,1.869638250243563,0.06153406982002224,48,0.1421009449645419,1.7725529701335128,0.07630281059898396,171,0.07630281059898396,0.1421009449645419,True
40,49,2025-06-25,2025-06-26,0.1817045122903416,2.1602103890503437,0.030756386270731566,49,0.13318246964022415,1.703621959911723,0.08845173617130593,170,0.08845173617130593,0.13318246964022415,True
40,50,2025-06-26,2025-06-27,0.1996378802052762,2.3089105661762357,0.02094854454020725,50,0.1277465172427764,1.6364618996770206,0.10174295340830224,169,0.10174295340830224,0.1277465172427764,False
40,51,2025-06-27,2025-06-30,0.20339298754322532,2.3581073072454446,0.018368382403133997,51,0.12254362492069285,1.5632227228377908,0.11800021726508195,168,0.11800021726508195,0.12254362492069285,False
40,52,2025-06-30,2025-07-01,0.214942535570547,2.446530193806333,0.014423871545092304,52,0.11762848049904343,1.499233271994906,0.1338131263071549,167,0.1338131263071549,0.11762848049904343,False
40,53,2025-07-01,2025-07-02,0.20229787703580027,2.261147470476633,0.023750126663038575,53,0.11542298600130979,1.4680712399847213,0.14208487278725618,166,0.14208487278725618,0.11542298600130979,False
40,54,2025-07-02,2025-07-03,0.14404685534748268,1.5524675321777275,0.12055039560513008,54,0.1318922811839135,1.6820354038544572,0.09256197490365216,165,0.12055039560513008,0.1318922811839135,False
40,55,2025-07-03,2025-07-07,0.1629765921312994,1.9200943757578166,0.054845979590974904,55,0.12564336280183874,1.6006625560806278,0.10945167874271271,164,0.10945167874271271,0.12564336280183874,False
40,56,2025-07-07,2025-07-08,0.1811419530522506,2.186882382368159,0.028751111359165006,56,0.12014930405001246,1.5223303366865961,0.1279263303915308,163,0.1279263303915308,0.12014930405001246,False
40,57,2025-07-08,2025-07-09,0.18024730930310418,2.2119392268336915,0.02697086437841378,57,0.12089609764508866,1.517246918086893,0.12920435461448848,162,0.12920435461448848,0.12089609764508866,False
40,58,2025-07-09,2025-07-10,0.16846885626805835,2.1472180878017655,0.03177592336754049,58,0.12700994861083179,1.5824278560469467,0.11355192973043199,161,0.11355192973043199,0.12700994861083179,False
