formation_date,date,total,total_weight,joint_search_analysis,joint_search_analysis_weight,joint_search_analysis_names,search_dominant,search_dominant_weight,search_dominant_names,analysis_dominant,analysis_dominant_weight,analysis_dominant_names,neither_high,neither_high_weight,neither_high_names
2025-04-14,2025-04-15,-0.005732237229412447,1.0000000000000002,-0.004629733955540893,0.4125740884125455,6,-0.00049936282529321,0.2775152798449318,4,0.0014708855195429188,0.19309295385085984,4,-0.002074025968121262,0.116817677891663,6
2025-04-15,2025-04-16,-0.009053573967337216,1.0,6.315237032236867e-05,0.2254950019920458,7,0.0020917506228681267,0.10095954165549359,3,-0.006621783487748839,0.26898593608650967,3,-0.004586693472778876,0.4045595202659511,7
2025-04-16,2025-04-17,0.0199460305868316,0.9999999999999999,0.008056024998818849,0.2790646776213356,7,-7.124503261500092e-05,0.04874530154425612,3,0.01687886098782472,0.2434392268002155,3,-0.004917610367196964,0.4287507940341928,7
2025-04-17,2025-04-21,-0.03073138736947639,1.0000000000000002,-0.01536264542627534,0.37494591790239995,7,-0.013712587427997634,0.2328308714531487,3,-0.0018207282595880327,0.1287453614455551,3,0.00016457374438461574,0.26347784919889644,7
2025-04-21,2025-04-22,-0.006763883730891009,1.0,-0.004118396553272781,0.39588834704557174,5,-0.00012368357092016835,0.18484467457273127,5,-0.0003571391726901204,0.1363629481457333,5,-0.002164664434007941,0.2829040302359637,5
2025-04-22,2025-04-23,0.033024717564586345,1.0000000000000002,0.012049163699010013,0.3843856626776363,7,0.0034150285906210474,0.1375682611899436,3,0.0047981327467704424,0.1517372069891757,3,0.012762392528184839,0.32630886914324453,7
2025-04-23,2025-04-24,-0.005428069310126613,0.9999999999999999,-0.003318129768936489,0.30176439574410646,5,-0.0005853725288652255,0.10733304829063502,5,-0.001508063707702631,0.3177675431531345,5,-1.650330462226818e-05,0.273135012812124,5
2025-04-24,2025-04-25,0.03684997674326415,1.0,0.008164971069237276,0.29483884151918704,4,0.007876665743241324,0.15217733492301322,3,0.008238257128582794,0.23956684623663588,3,0.01257008280220276,0.313416977321164,4
2025-04-25,2025-04-28,0.010947030743461789,1.0000000000000002,0.000344363443544427,0.08480984685782725,4,0.003362113428304816,0.28929273990772164,6,0.0028203387408905095,0.3508722273675175,6,0.0044202151307220355,0.2750251858669338,4
2025-04-28,2025-04-29,-0.010931511984767444,1.0,-0.004872679847884148,0.21522056833682526,6,-0.00012918382966172227,0.036702864641125765,4,-0.0042730049017993925,0.2971731800774223,4,-0.0016566434054221786,0.4509033869446266,6
2025-04-29,2025-04-30,-0.005591785560946738,1.0,0.0006790332271252096,0.11706506292461405,4,-0.0009761299448496595,0.10023087168380396,4,-0.0004691461128449817,0.31123683329905816,4,-0.004825542730377306,0.47146723209252395,4
2025-04-30,2025-05-01,0.012314494735975645,1.0,-0.007774180075879451,0.6122081613609253,8,0.0007208119667635218,0.02980178099460945,2,0.002067805659703806,0.03773149763991261,5,0.017300057185387772,0.32025856000455255,5
