bucket,label,mean_contribution_pct,mean_t,mean_p,share_of_mean_return,alpha_contribution_pct,alpha_t,alpha_p,share_of_total_alpha,avg_names
joint_search_analysis,Joint search + analysis,0.026882001174231007,0.8159607420507279,0.41452258930524866,0.12190681954594221,0.03315111519402976,1.0629135756383052,0.2878211459646741,0.18157602273892248,5.23015873015873
search_dominant,Search-dominant,0.05809318865280652,2.027880915209543,0.04257240340025334,0.2634460068670334,0.07233905799340623,2.084629304789837,0.037102962303926436,0.39621709140839023,4.083333333333333
analysis_dominant,Analysis-dominant,0.08482588546791549,2.4345924054399335,0.014908572682601953,0.38467574811635086,0.07408941624745481,2.2962731354579344,0.021660269140242012,0.40580419242379207,4.2103174603174605
neither_high,Neither high,0.050711618534289044,1.4866875282956615,0.13709735815773316,0.22997142547067384,0.0029947102659887968,0.1016116185469702,0.919064956919694,0.0164026934288954,5.0
total,Total Top20 with reports,0.220512693829242,2.4711973707173907,0.013466147397987788,1.0,0.18257429970087957,2.3257979061678995,0.02002933440389569,1.0,18.523809523809526
