primary_theme,mean_daily_contribution_pct,t,p,n_dates,share_of_total_mean,alpha_contribution_pct,alpha_t,alpha_p,share_of_total_alpha
analyst_institutional,0.12536214580638727,1.936257166120853,0.052836212103472606,252,0.5685030808406146,0.08182269381793468,1.4957823665305763,0.13471037794778742,0.4481610716951335
technical_price_action,0.05127777506850937,1.8157595179678487,0.06940726965209566,252,0.23253888099619902,0.05799691586393767,1.6688225357618216,0.09515255515485588,0.31766199272820356
fundamental_operations,0.022001711271159696,0.7479730530849752,0.4544764114859223,252,0.09977525959660681,0.022279917893063435,0.7038572317349188,0.48152168797167527,0.12203205998634921
macro_sector_theme,0.013297831503675092,1.5630421748626695,0.11804267519305561,252,0.06030415425414244,0.015099695905070314,1.4899646517158953,0.13623353054503534,0.08270438900660655
sentiment_attention,0.006520786763779049,1.10398222926625,0.26960084649630234,252,0.029571026731134757,0.007435397030506665,0.9991238370048805,0.3177347052039742,0.04072532137704179
risk_downside,0.0014311008504619164,0.2045243784564495,0.8379437433512816,252,0.006489879678174515,-0.002089304553323383,-0.24387956830970178,0.8073240936053896,-0.011443585196527621
valuation,0.0007534573967376145,0.25972225801521737,0.7950780222583057,252,0.003416843645840488,0.00020976935328620178,0.05536393862530264,0.9558485245616561,0.0011489533501148695
firm_specific_catalyst,-0.00013211483146804076,-0.37235181042900795,0.7096309281572633,252,-0.0005991257427127813,-0.00018078560959600528,-0.4217605157147003,0.6731998283753737,-0.000990202946921857
