portfolio,alpha,t,p,n_obs,mean_ret,sharpe,avg_names
All Top20 with reports,0.18257429970087957,2.3257979061678995,0.02002933440389569,208,0.19924595816839066,2.2335848855688685,18.523809523809526
High retrieval Top20,0.18001724386132928,2.2271814960632224,0.025935146285845236,206,0.19056156120662335,2.176888832156158,9.38
Low retrieval Top20,0.13039514899655003,1.4449503624845368,0.14847182865590405,206,0.17686143688041378,1.8245007896667063,9.268
High reasoning Top20,0.1679936164540119,1.9832090263565365,0.04734408607007068,206,0.18690500910135488,1.9906628203883423,9.508
Low reasoning Top20,0.11898832488030626,1.6410171484831402,0.10079385553958572,203,0.1586561029114635,1.7890252513086211,9.251012145748987
"High retrieval, high reasoning",0.06796901564482562,0.7759365764977564,0.4377864348563697,194,0.07330244424431485,0.8374087735377048,5.455696202531645
"High retrieval, low reasoning",0.31387388064030874,2.931947144467564,0.0033684407021466554,178,0.33366881917587216,3.209749749047129,4.506849315068493
"Low retrieval, high reasoning",0.2756882515585681,2.1522828195162806,0.03137508612809441,182,0.3377313542735969,2.961343130279576,4.57847533632287
"Low retrieval, low reasoning",0.05964134981547954,0.6524091877589703,0.5141372388532912,184,0.12027516152777712,1.2135469894574755,5.39647577092511
