primary_theme,stock_days,share_of_top20_report_days,avg_retrieval,avg_reasoning
analyst_institutional,2952,0.6294243070362473,0.2634878507364295,0.2379061531044888
fundamental_operations,898,0.19147121535181236,0.2601132511388611,0.21017390255069318
technical_price_action,573,0.12217484008528785,0.36243711768046627,0.33749688212548606
sentiment_attention,118,0.02515991471215352,-0.006085599178670387,0.13949931282680558
valuation,56,0.011940298507462687,0.19245359880351726,0.11604746548538016
macro_sector_theme,48,0.01023454157782516,0.3936223325825136,0.4321243314216881
risk_downside,41,0.008742004264392323,0.2142012559624033,0.171157057327938
firm_specific_catalyst,4,0.0008528784648187633,0.38765752129277287,0.24281307430816745
