formation_date,date,theme,ai_weight,bench_weight,active_weight,ai_ret,bench_ret,bench_active_ret,within_theme_excess_ret,allocation,selection,ai_names,bench_names
2025-04-14,2025-04-15,analyst_institutional,0.5476360824378121,0.6002624994195733,-0.05262641698176118,-0.0010176483632659738,-0.0022708414023770596,0.004924972424162127,0.0012531930391110858,0.00011950624654094246,0.0006862937264771309,15,728
2025-04-14,2025-04-15,firm_specific_catalyst,0.0,0.0,0.0,,0.0,0.007195813826539187,,0.0,0.0,0,0
2025-04-14,2025-04-15,fundamental_operations,0.12907390286991882,0.07147453809642514,0.057599364773493686,-0.00478841475790126,-0.00486156439124616,0.0023342494352930265,7.314963334489975e-05,-0.00028002302074121534,9.441708669329765e-06,1,56
2025-04-14,2025-04-15,macro_sector_theme,0.021795445257298006,0.023745591588213714,-0.0019501463309157079,-0.0475425204231954,-0.008925594716149295,-0.001729780889610108,-0.038616925707046106,1.7406215786939175e-05,-0.0008416730902530675,1,22
2025-04-14,2025-04-15,risk_downside,0.05618308873994279,0.08172896537285923,-0.025545876632916444,-0.023695198329853784,-0.02146732553679685,-0.014271511710257662,-0.002227872793056935,0.0005484016498016691,-0.00012516877483362195,1,59
2025-04-14,2025-04-15,sentiment_attention,0.0,0.003394565280331112,-0.003394565280331112,,0.009135518181639688,0.016331332008178875,,-3.10111128372277e-05,0.0,0,4
2025-04-14,2025-04-15,technical_price_action,0.2453114806950284,0.21555665055131978,0.02975483014370861,-0.008924967747675042,-0.016568580724633433,-0.009372766898094246,0.00764361297695839,-0.0004929953051837923,0.0018750660172373967,2,92
2025-04-14,2025-04-15,valuation,0.0,0.0038371896912778192,-0.0038371896912778192,,0.005646753296297854,0.012842567122837042,,-2.166766353774317e-05,0.0,0,7
2025-04-15,2025-04-16,analyst_institutional,0.5705716466819494,0.4968259332245928,0.07374571345735659,-0.018646238008433156,-0.008868155962183006,0.00525117826929785,-0.00977808204625015,-0.0006539884884822964,-0.005579096374520153,15,748
2025-04-15,2025-04-16,firm_specific_catalyst,0.0,0.0,0.0,,0.0,0.014119334231480856,,0.0,0.0,0,0
2025-04-15,2025-04-16,fundamental_operations,0.08188977682764571,0.05472044449774886,0.02716933232989685,0.027663157894736834,0.0009149607186806027,0.015034294950161458,0.02674819717605623,2.4858871834634558e-05,0.002190403897289108,1,72
2025-04-15,2025-04-16,macro_sector_theme,0.0,0.10216076913686153,-0.10216076913686153,,-0.019147893633111066,-0.00502855940163021,,0.0019561635409094404,0.0,0,26
2025-04-15,2025-04-16,risk_downside,0.05068174827773066,0.13825791589580125,-0.08757616761807059,0.019616500567680273,-0.017574334330542653,-0.0034550000990617967,0.037190834898222926,0.0015390928491076158,0.001884896532550375,1,60
2025-04-15,2025-04-16,sentiment_attention,0.0,0.0018706480347397197,-0.0018706480347397197,,-0.01325874847607643,0.0008605857554044253,,2.480245177988063e-05,0.0,0,5
2025-04-15,2025-04-16,technical_price_action,0.29685682821267445,0.2001623196875069,0.09669450852516756,-0.005639377145981181,-0.026511935568542394,-0.012392601337061538,0.020872558422561215,-0.0025635585798511155,0.006196161490005266,3,73
2025-04-15,2025-04-16,valuation,0.0,0.006001969522749013,-0.006001969522749013,,-0.007668161816956709,0.0064511724145241475,,4.602407352088186e-05,0.0,0,12
2025-04-16,2025-04-17,analyst_institutional,0.7518563831572083,0.8297247782188287,-0.07786839506162047,0.017996860952697244,-0.007041390373100991,-0.0015878152279882492,0.025038251325798233,0.0005483017673557191,0.018825169082395832,18,900
2025-04-16,2025-04-17,firm_specific_catalyst,0.0,0.0,0.0,,0.0,0.005453575145112742,,0.0,0.0,0,0
2025-04-16,2025-04-17,fundamental_operations,0.0,0.007830215350902898,-0.007830215350902898,,-0.003834409917470603,0.0016191652276421387,,3.0024255397432633e-05,0.0,0,11
2025-04-16,2025-04-17,macro_sector_theme,0.0,0.015728151704996036,-0.015728151704996036,,0.01118535499804735,0.01663893014316009,,-0.00017592496028352435,0.0,0,7
2025-04-16,2025-04-17,risk_downside,0.0,0.08517667792890968,-0.08517667792890968,,-0.0048507775404965205,0.0006027976046162212,,0.0004131731162716607,0.0,0,36
2025-04-16,2025-04-17,sentiment_attention,0.0,0.0017404932567871851,-0.0017404932567871851,,-0.004583135023190409,0.0008704401219223326,,7.976915602808086e-06,0.0,0,5
2025-04-16,2025-04-17,technical_price_action,0.24814361684279165,0.05828103547462612,0.18986258136816553,0.025851867093633886,0.011586900152452286,0.017040475297565028,0.0142649669411816,0.0021999187729997817,0.0035397604909276565,2,32
2025-04-16,2025-04-17,valuation,0.0,0.001518648064949427,-0.001518648064949427,,-0.007379123271292963,-0.0019255481261802217,,1.1206291276972344e-05,0.0,0,5
2025-04-17,2025-04-21,analyst_institutional,0.9176968119011749,0.7878909629316991,0.12980584896947578,-0.03171674248036059,-0.008196432584750021,0.00458678845043998,-0.023520309895610568,-0.0010639448901845511,-0.021584513406129473,19,906
2025-04-17,2025-04-21,firm_specific_catalyst,0.0,0.0,0.0,,0.0,0.012783221035190001,,0.0,0.0,0,0
2025-04-17,2025-04-21,fundamental_operations,0.0,0.00960968110949498,-0.00960968110949498,,-0.01755398901960135,-0.00477076798441135,,0.0001686882366779454,0.0,0,18
2025-04-17,2025-04-21,macro_sector_theme,0.0,0.006912063023033987,-0.006912063023033987,,0.001639384690627672,0.014422605725817673,,-1.1331530300615544e-05,0.0,0,10
2025-04-17,2025-04-21,risk_downside,0.08230318809882531,0.1370694892611792,-0.0547663011623539,-0.019744483159117254,-0.035113301301609334,-0.022330080266419333,0.01536881814249208,0.00192302563388841,0.0012649027304381646,1,26
2025-04-17,2025-04-21,sentiment_attention,0.0,0.00023171435143155605,-0.00023171435143155605,,0.019076688286913335,0.031859909322103336,,-4.420342453864086e-06,0.0,0,1
2025-04-17,2025-04-21,technical_price_action,0.0,0.05775970714040127,-0.05775970714040127,,-0.023552320901572717,-0.010769099866382716,,0.0013603751577515918,0.0,0,34
2025-04-17,2025-04-21,valuation,0.0,0.0005263821827600102,-0.0005263821827600102,,0.0018008283810553305,0.014584049416245332,,-9.479239739960802e-07,0.0,0,1
2025-04-21,2025-04-22,analyst_institutional,0.9184321415889227,0.9802510493979045,-0.061818907808981804,-0.007598607979089925,-0.0026195646868920576,-9.654463409018103e-05,-0.004979043292197867,0.0001619386278786444,-0.004572913393917247,19,945
2025-04-21,2025-04-22,firm_specific_catalyst,0.0,0.0,0.0,,0.0,0.0025230200528018765,,0.0,0.0,0,0
2025-04-21,2025-04-22,fundamental_operations,0.0815678584110773,0.019633262417480618,0.061934595993596686,0.0026348867387946395,0.0022526812734628096,0.004775701326264686,0.00038220546533182997,0.00013951890457426,3.1175681280126625e-05,1,16
2025-04-21,2025-04-22,macro_sector_theme,0.0,0.0,0.0,,0.0,0.0025230200528018765,,0.0,0.0,0,0
2025-04-21,2025-04-22,risk_downside,0.0,0.00011568818461474863,-0.00011568818461474863,,0.00504371217215871,0.007566732224960586,,-5.834979049163516e-07,0.0,0,1
2025-04-21,2025-04-22,sentiment_attention,0.0,0.0,0.0,,0.0,0.0025230200528018765,,0.0,0.0,0,0
2025-04-21,2025-04-22,technical_price_action,0.0,0.0,0.0,,0.0,0.0025230200528018765,,0.0,0.0,0,0
2025-04-21,2025-04-22,valuation,0.0,0.0,0.0,,0.0,0.0025230200528018765,,0.0,0.0,0,0
2025-04-22,2025-04-23,analyst_institutional,1.0000000000000002,0.9979327335908516,0.0020672664091486714,0.03302471756458634,0.04033732855571416,-2.436142716556039e-05,-0.007312610991127823,8.338800435802137e-05,-0.0073126109911278245,20,979
2025-04-22,2025-04-23,firm_specific_catalyst,0.0,0.0,0.0,,0.0,-0.04036168998287972,,0.0,0.0,0,0
2025-04-22,2025-04-23,fundamental_operations,0.0,0.0018109165899968555,-0.0018109165899968555,,0.054376382726008095,0.014014692743128374,,-9.84710935825465e-05,0.0,0,15
2025-04-22,2025-04-23,macro_sector_theme,0.0,0.0,0.0,,0.0,-0.04036168998287972,,0.0,0.0,0,0
2025-04-22,2025-04-23,risk_downside,0.0,0.0,0.0,,0.0,-0.04036168998287972,,0.0,0.0,0,0
2025-04-22,2025-04-23,sentiment_attention,0.0,0.0,0.0,,0.0,-0.04036168998287972,,0.0,0.0,0,0
2025-04-22,2025-04-23,technical_price_action,0.0,0.000256349819151737,-0.000256349819151737,,0.03619404909948935,-0.004167640883390368,,-9.278337941023186e-06,0.0,0,2
2025-04-22,2025-04-23,valuation,0.0,0.0,0.0,,0.0,-0.04036168998287972,,0.0,0.0,0,0
2025-04-23,2025-04-24,analyst_institutional,0.9605250889092896,0.9710446325329923,-0.010519543623702776,-0.005168568721441011,-0.006738302558829615,0.00015651252631350074,0.001569733837388604,7.088386771731618e-05,0.0015077687337216091,19,945
2025-04-23,2025-04-24,firm_specific_catalyst,0.0,0.0,0.0,,0.0,0.006894815085143116,,0.0,0.0,0,0
2025-04-23,2025-04-24,fundamental_operations,0.039474911090710316,0.025628589852232975,0.01384632123847734,-0.011742379314434892,-0.011908205297285012,-0.0050133902121418964,0.0001658259828501204,-0.00016488483591994583,6.545965929538156e-06,1,23
2025-04-23,2025-04-24,macro_sector_theme,0.0,0.0,0.0,,0.0,0.006894815085143116,,0.0,0.0,0,0
2025-04-23,2025-04-24,risk_downside,0.0,0.0,0.0,,0.0,0.006894815085143116,,0.0,0.0,0,0
2025-04-23,2025-04-24,sentiment_attention,0.0,0.0027206668082542804,-0.0027206668082542804,,-0.016598340165983494,-0.009703525080840377,,4.515855316170514e-05,0.0,0,1
2025-04-23,2025-04-24,technical_price_action,0.0,0.0005212075617081756,-0.0005212075617081756,,-0.001264298615292092,0.005630516469851024,,6.589619985474141e-07,0.0,0,1
2025-04-23,2025-04-24,valuation,0.0,8.490324481232816e-05,-8.490324481232816e-05,,-0.007237984944991283,-0.00034316985984816743,,6.145284077325405e-07,0.0,0,1
2025-04-24,2025-04-25,analyst_institutional,1.0,0.9754669330356649,0.024533066964335104,0.03684997674326416,0.019092356436956684,-5.178598880784674e-05,0.017757620306307474,0.0004683940589748127,0.017757620306307474,14,581
2025-04-24,2025-04-25,firm_specific_catalyst,0.0,0.0,0.0,,0.0,-0.01914414242576453,,0.0,0.0,0,0
2025-04-24,2025-04-25,fundamental_operations,0.0,0.023798545335838674,-0.023798545335838674,,0.021472603240974227,0.002328460815209696,,-0.0005110167217088015,0.0,0,14
2025-04-24,2025-04-25,macro_sector_theme,0.0,0.00041152263966182865,-0.00041152263966182865,,0.021398002853067147,0.002253860427302617,,-8.805762617585533e-06,0.0,0,1
2025-04-24,2025-04-25,risk_downside,0.0,0.00032299898883457386,-0.00032299898883457386,,0.001107011070110575,-0.018037131355653956,,-3.575634562743953e-07,0.0,0,1
2025-04-24,2025-04-25,sentiment_attention,0.0,0.0,0.0,,0.0,-0.01914414242576453,,0.0,0.0,0,0
2025-04-24,2025-04-25,technical_price_action,0.0,0.0,0.0,,0.0,-0.01914414242576453,,0.0,0.0,0,0
2025-04-24,2025-04-25,valuation,0.0,0.0,0.0,,0.0,-0.01914414242576453,,0.0,0.0,0,0
