date,analyst_institutional,firm_specific_catalyst,fundamental_operations,macro_sector_theme,risk_downside,sentiment_attention,technical_price_action,valuation,total
2025-04-15,-0.0005573009629582295,0.0,-0.0006180593813622331,-0.0010362104012777277,-0.0013312694304767193,0.0,-0.002189397053337537,0.0,-0.005732237229412447
2025-04-16,-0.010639014724895259,0.0,0.002265329826347925,0.0,0.000994198543861132,0.0,-0.001674087612651018,0.0,-0.00905357396733722
2025-04-17,0.01353105478407814,0.0,0.0,0.0,0.0,0.0,0.006414975802753461,0.0,0.0199460305868316
2025-04-21,-0.029106353458117476,0.0,0.0,0.0,-0.001625033911358916,0.0,0.0,0.0,-0.030731387369476393
2025-04-22,-0.006978805799330236,0.0,0.00021492206843922639,0.0,0.0,0.0,0.0,0.0,-0.006763883730891009
2025-04-23,0.033024717564586345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033024717564586345
2025-04-24,-0.0049645399306959,0.0,-0.0004635293794307133,0.0,0.0,0.0,0.0,0.0,-0.005428069310126613
2025-04-25,0.03684997674326416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03684997674326416
2025-04-28,0.0102700610602139,0.0,0.0006769696832478871,0.0,0.0,0.0,0.0,0.0,0.010947030743461787
2025-04-29,-0.010938429677349098,0.0,6.917692581655387e-06,0.0,0.0,0.0,0.0,0.0,-0.010931511984767443
2025-04-30,-0.005591785560946738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005591785560946738
2025-05-01,0.012314494735975645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012314494735975645
2025-05-02,0.012047954775317683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012047954775317683
2025-05-05,-0.00496628346747936,0.0,-0.0021427654867997624,0.0,0.0,0.0,0.0,0.0,-0.0071090489542791225
2025-05-06,-0.0024720015165729373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024720015165729373
2025-05-07,0.004655532377173924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004655532377173924
2025-05-08,0.003363987827234099,0.0,0.011030593521823322,0.0,0.0,0.0,0.0,0.0,0.014394581349057424
2025-05-09,-0.00170849039625369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00170849039625369
2025-05-12,0.03286438811944198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03286438811944198
2025-05-13,0.009675171030817402,0.0,0.000489836742257454,0.0,0.0,0.0,0.0,0.0,0.010165007773074856
2025-05-14,0.0064885502305062496,0.0,0.0,0.0,0.010585505877426432,0.0,0.0016064703705507874,0.0,0.018680526478483468
2025-05-15,-0.0020164363786531283,0.0,-5.2986796238924536e-05,0.0,0.0009477449167207511,0.0,0.0005930571837100328,0.0,-0.0005286210744612688
2025-05-16,0.004341807621791541,0.0,8.253959860414653e-05,0.0,8.096359359889073e-06,0.0,0.0012258788824443913,0.0,0.005658322462199968
2025-05-19,-0.008445357876184598,0.0,0.0,0.0,-0.0021672475781761677,0.0,-0.0068194344857425765,0.0,-0.017432039940103342
2025-05-20,0.011056286101137694,0.0,0.0010545859960055179,0.0,4.725581051892435e-06,0.0,0.0,0.0,0.012115597678195103
2025-05-21,-0.0036171761059356333,0.0,-0.00012104598849301015,0.0,0.0,0.0,-0.0023062382342386935,0.0,-0.006044460328667337
2025-05-22,0.006724165597204205,0.0,0.00031878360783420533,0.0,-0.002951496695260389,0.0,0.00016441245443510043,-0.0008801011123535042,0.0033757638518596175
2025-05-23,-0.009723050188187744,0.0,-0.00189432130556724,0.0,0.0,0.0,-5.596396603445477e-05,0.0,-0.011673335459789439
2025-05-27,0.00284950145289063,0.0,0.011793286475868765,0.0004923373038143545,0.0028890172896573144,0.0,0.0006043674286337591,0.0,0.018628509950864822
