component,label,mean_pct,mean_t,mean_p,alpha_pct,alpha_t,alpha_p,share_of_active_alpha,n_dates
ai_top20_classified,AI Top-20 classified return,0.21574712690642267,2.4311750513115173,0.015049941373533278,0.17816625175901182,2.291317216007888,0.02194507360150743,,251
benchmark_classified,Classified report-universe return,0.11023977909305442,2.1038411974195084,0.03539230177875334,0.06983876885255512,1.8652699987984018,0.062143568176524,,251
active_total,Top-20 minus classified benchmark,0.10550734781336817,1.8591858383891513,0.06300080143528844,0.10832748290645672,1.8454815811433727,0.06496751541154021,,251
theme_allocation,Q2a theme allocation,0.010073674327836762,1.0488143805129513,0.29426355755728495,0.01923496420021745,1.9317941968860608,0.053384912641474956,0.17756310480164378,251
within_theme_selection,Q2b within-theme stock selection,0.09543367348553151,1.7607628790930872,0.07827854515719979,0.08909251870623931,1.6024681292931902,0.10905212971668939,0.8224368951983566,251
